text,final_text,sentiment
We keep fighting and working hard preparing for the next games!💪🏼 https://t.co/FboPDnNsTS,We keep fighting working hard preparing next games,Positive
"You ask, @Cristiano Ronaldo answers.

This is your chance to hear Ronaldo answer your questions in an upcoming video.

If you could ask him one question, what would it be?

Let us know below 👇 https://t.co/Vyg443EGvt",You ask Ronaldo answers This chance hear Ronaldo answer questions upcoming video If could ask one question would Let us know,Neutral
"Eid Mubarak 🤩💛
 https://t.co/rzAl2IqFxw",Eid Mubarak,Neutral
"Focus in preparation for semi-final 💪🏽
#EidMubarak to all those celebrating today. https://t.co/tr4ql651zh",Focus preparation semi final EidMubarak celebrating today,Neutral
"Parabéns pelo teu primeiro ano de vida, meu amor. O papá ama-te muito!🎂♥️😘 https://t.co/FBHMAjiuYE",Parab ns pelo teu primeiro ano de vida meu amor O pap ama te muito,Neutral
Yesterday’s rainy training session!🌨️⚽️😁 https://t.co/sKZn6xmWxX,Yesterday rainy training session,Neutral
"Feeling the scent of a perfume that refreshes your mind.
 
#CR7 #PLAYFECTIONISM #CR7FRAGRANCES  #FRAGRANCES #CR7ORIGINS https://t.co/7sQZVVyY14",Feeling scent perfume refreshes mind CR PLAYFECTIONISM CR FRAGRANCES FRAGRANCES CR ORIGINS,Positive
Proud to support the work of this great scholarship project!,Proud support work great scholarship project,Positive
"Very proud to have supported the Singapore Olympic Foundation Peter Lim Scholarship for the past 10 years.
They are doing fantastic work in youth development and creating opportunities for young people most in need. Let’s continue the good work. https://t.co/fiAB0anDSa",Very proud supported Singapore Olympic Foundation Peter Lim Scholarship past years They fantastic work youth development creating opportunities young people need Let continue good work,Positive
"What score will you get? 👀
Watch the full video on the @livescore YouTube channel 🎥

https://t.co/DbZqLCPcVv https://t.co/C42c5DZFA9",What score get Watch full video YouTube channel,Neutral
Great team performance - we keep pushing forward 💪🏽 https://t.co/kF1hZHL7XY,Great team performance keep pushing forward,Positive
Great team spirit!⚽️👌🏽 https://t.co/UqGPFCUssJ,Great team spirit,Positive
Thank you to @AlNassrFC_EN and my team mates for celebrating with me this achievement of becoming the most capped men’s international player. Wishing a happy birthday also to @A_ghareeb29 🎉 https://t.co/dJfQhCHhfU,Thank team mates celebrating achievement becoming capped men international player Wishing happy birthday also,Positive
"Thanks to the over 1000 patients that trusted @Insparya_italy over the past 6 months!
Our mission is to help you fight alopecia with innovative technologies,such as the BotHair UltraPlus Insparya!
Stay tuned on Insparya Italy news following @Insparya_italy! https://t.co/E1MauQwluv",Thanks patients trusted past months Our mission help fight alopecia innovative technologies BotHair UltraPlus Insparya Stay tuned Insparya Italy news following,Positive
Sleep has a huge impact on performance. That’s why I leave nothing up to chance. @therabody  #Theragun helps me fall asleep faster and wake up refreshed. #KeepMoving https://t.co/vrTH93UVu9,Sleep huge impact performance That I leave nothing chance Theragun helps fall asleep faster wake refreshed KeepMoving,Positive
"Every time I score, @Livescore are there 📲

To never miss a goal, download the free app now 👀

https://t.co/4lzGWzFyYH https://t.co/bbg35L5bZv",Every time I score To never miss goal download free app,Positive
"2 jogos, 2 vitórias! Objetivo cumprido. Feliz por ter contribuído para este início muito positivo da nossa seleção. Vamos!💪🏼🇵🇹 https://t.co/mLmlAVGFiU",jogos vit rias Objetivo cumprido Feliz por ter contribu para este cio muito positivo da nossa sele Vamos,Neutral
Winning team!🇵🇹💪🏽😅 https://t.co/zgcVNTHadQ,Winning team,Positive
Sensações tão boas por voltar a jogar e marcar pela nossa Seleção e num estádio especial para mim. Orgulhoso por ser o jogador mais internacional de sempre.🙌🏽🇵🇹 https://t.co/a6XcSEqLSE,Sensa es boas por voltar jogar e marcar pela nossa Sele e num est dio especial para mim Orgulhoso por ser jogador mais internacional de sempre,Neutral
Ramadan Mubarak to all Muslim!🙏🏽🙌🏽 https://t.co/D9QoB5eyjd,Ramadan Mubarak Muslim,Neutral
Muito feliz por voltar à nossa seleção e poder representar novamente Portugal!🇵🇹🙌🏼 https://t.co/TuVSZ4D8as,Muito feliz por voltar nossa sele e poder representar novamente Portugal,Neutral
Great to get the win and so happy to score here in our stadium with our fans!💪🏼💛💙 https://t.co/kGJYsk4n5S,Great get win happy score stadium fans,Positive
"Good victory team! We move on to the semi-finals!💪🏼
💛💙 https://t.co/R0jRfJakeM",Good victory team We move semi finals,Positive
Focus on the outcome not the obstacles! https://t.co/vPn0QpOLOJ,Focus outcome obstacles,Neutral
"Disappointed with the result, but we stay focused on our season and the games ahead.💪🏼
Thank you Al Nassr fans for your support, we know we can count on you!🙌🏼💛💙 https://t.co/9L61mC2Jfn",Disappointed result stay focused season games ahead Thank Al Nassr fans support know count,Neutral
🎯 https://t.co/Cm1xHZuOHo,,Neutral
"#Theragun has been a constant in my training. No matter where the game takes me, my @Therabody  recovery routine stays the same so I can #KeepMoving with intention and precision. https://t.co/gmalWq592z",Theragun constant training No matter game takes recovery routine stays I KeepMoving intention precision,Neutral
Happy to win the February Player of the month award for the Roshn Saudi League. Hopefully the 1st of many! Proud to be part of this team @AlNassrFC 💙💛 https://t.co/YbvHyKiS9n,Happy win February Player month award Roshn Saudi League Hopefully st many Proud part team,Positive
"Always believe until the end!
Vamos!!💪🏼💛💙 https://t.co/LwRG1cff5r",Always believe end Vamos,Positive
✈️😜 https://t.co/oWCeKh2QMl,,Neutral
"The CR7 NFT collection on #Binance offers a wide range of utility, such as signed shirts and meeting @Cristiano virtually.

If you're holder, here are some instructions on how to view your NFT!

Head to the app ➡️ https://t.co/2vTkdFrFnk https://t.co/MfpEaPcm5I",The CR NFT collection Binance offers wide range utility signed shirts meeting virtually If holder instructions view NFT Head app,Neutral
